Species	ID	Sex	CTmin	CTmax	Mass	SVL	CC	BC	Site	day	month	year	sprint_1_tb	sprint_1_speed	sprint_2_tb	sprint_2_speed	sprint_3_tb	sprint_3_speed
C_nigropunctatum	78	F	NA	NA	11.5	85	102	100	Cerrado_IBGE	22	6	2017	NA	NA	27.6	NA	NA	NA
C_nigropunctatum	135	M	NA	NA	14	84	102	102	Cerrado_IBGE	19	6	2017	NA	NA	27.4	NA	NA	NA
C_nigropunctatum	154	F	13.9	46.4	37.5	104	NA	NA	Cerrado_IBGE	11	4	2016	21.2	NA	26.6	27.01	34.9	NA
C_nigropunctatum	155	M	NA	NA	12	80	190	190	Cerrado_IBGE	25	5	2017	NA	NA	27.4	NA	NA	NA
C_nigropunctatum	163	NA	NA	NA	NA	82	67	24	NA	22	5	2017	NA	NA	27.5	NA	NA	NA
C_nigropunctatum	174	F	12.2	41.7	11	80	NA	NA	Fercal	15	2	2017	22.5	NA	29.3	NA	35.2	NA
C_nigropunctatum	190	M	NA	NA	14	75	135	135	Cerrado_IBGE	25	5	2017	NA	NA	27.1	NA	NA	NA
C_nigropunctatum	204	NA	NA	NA	NA	78	117	117	NA	22	5	2017	NA	NA	27.3	NA	NA	NA
C_nigropunctatum	205	NA	NA	NA	NA	76	120	120	NA	22	5	2017	NA	NA	27.6	NA	NA	NA
C_nigropunctatum	205	NA	NA	NA	NA	80	124	124	NA	22	5	2017	NA	NA	27.2	NA	NA	NA
C_nigropunctatum	206	NA	NA	NA	NA	103	90	10	NA	22	5	2017	NA	NA	27.7	NA	NA	NA
C_nigropunctatum	207	NA	NA	NA	NA	72	120	120	NA	22	5	2017	NA	NA	27.4	NA	NA	NA
C_nigropunctatum	210	F	NA	NA	10	77	118	85	Cerrado_IBGE	25	5	2017	NA	NA	27.5	NA	NA	NA
C_nigropunctatum	692	NA	NA	NA	NA	75	130	130	NA	22	5	2017	NA	NA	27.8	NA	NA	NA
C_nigropunctatum	155A	F	NA	NA	17.5	86	80	80	Cerrado_IBGE	26	5	2017	NA	NA	27.5	NA	NA	NA
C_nigropunctatum	188A	F	NA	NA	14	83	138	138	Cerrado_IBGE	19	6	2017	NA	NA	27.2	NA	NA	NA
C_nigropunctatum	1C	F	11.2	45.3	NA	NA	NA	NA	NA	5	9	2016	19.6	NA	26.9	NA	35.9	NA
C_nigropunctatum	209A	M	NA	NA	11.5	77	110	25	Cerrado_IBGE	25	5	2017	NA	NA	27.4	NA	NA	NA
C_nigropunctatum	212A	F	NA	NA	13	87	129	129	Cerrado_IBGE	19	6	2017	NA	NA	NA	NA	NA	NA
C_nigropunctatum	213A	M	NA	NA	11.5	81	129	129	Cerrado_IBGE	19	6	2017	NA	NA	NA	NA	NA	NA
C_nigropunctatum	214A	M	NA	NA	11	86	146	146	Cerrado_IBGE	19	6	2017	NA	NA	NA	NA	NA	NA
C_nigropunctatum	215A	M	NA	NA	15	87	134	134	Cerrado_IBGE	19	6	2017	NA	NA	NA	NA	NA	NA
C_nigropunctatum	216A	M	NA	NA	13	81	89	16	Cerrado_IBGE	19	6	2017	NA	NA	NA	NA	NA	NA
C_nigropunctatum	217A	M	NA	NA	13	14	128	128	Cerrado_IBGE	20	6	2017	NA	NA	27.1	NA	NA	NA
C_nigropunctatum	2C	M	13	43	9	72	NA	NA	Fercal	15	2	2017	22.5	NA	28.5	NA	34	NA
C_nigropunctatum	53A	NA	NA	NA	NA	NA	NA	NA	Mata_JBB	NA	NA	2017	NA	NA	27.4	NA	NA	NA
C_nigropunctatum	54A	F	11.7	42.8	18	93	NA	NA	Cerrado_IBGE	14	3	2016	21.4	6.95	25.9	9.75	31.2	8.34
C_nigropunctatum	55A	NA	11.4	43.5	9.25	74	NA	NA	Mata_IBGE	14	3	2016	19.5	7.79	24.9	7.74	32.7	7.9
C_nigropunctatum	57a	M	12	43.5	7	66	NA	NA	Cerrado_IBGE	14	3	2016	18.4	5.66	25.7	6.97	32.8	6.76
C_nigropunctatum	59A	M	11.6	47.2	NA	77	NA	NA	Cerrado_IBGE	11	4	2016	21.7	NA	26.2	NA	34.7	NA
C_nigropunctatum	60A	M	12.8	NA	10	75	NA	NA	Cerrado_IBGE	11	4	2016	20	NA	27.2	12.819	34.1	NA
C_nigropunctatum	61A	M	19.6	42.6	11	80	NA	NA	Cerrado_IBGE	11	4	2016	21.6	NA	26.2	NA	38.4	NA
C_nigropunctatum	70/46A	NA	NA	NA	NA	75	120	120	NA	23	5	2017	NA	NA	27.5	NA	NA	NA
C_nigropunctatum	77A	F	NA	NA	25	100	152	152	Cerrado_IBGE	20	6	2017	NA	NA	26.5	NA	NA	NA
C_nigropunctatum	80/66A	M	11.6	43.6	9.5	65	NA	NA	Cerrado_IBGE	14	3	2016	18.5	6.65	25.6	5.64	30.3	9.45
C_nigropunctatum	802A	M	NA	NA	12.5	85	131	98	Mata_IBGE	25	8	2017	NA	NA	27.8	NA	NA	NA
M_atticolus	561	F	16.2	45.2	1	34	NA	NA	Cerrado_IBGE	14	3	2016	14.8	7.823	25.8	9.1235	32	6.604
M_atticolus	40/73	NA	NA	NA	NA	NA	NA	NA	Cerrado_IBGE	20	6	2017	NA	NA	27.9	NA	NA	NA
M_atticolus	70/10A	F	11.5	46	2	43	NA	NA	Cerrado_IBGE	12	5	2016	18.5	5.317	29.8	7.024	37.7	7.877
M_atticolus	70/11A	M	12.6	45.1	2	38	NA	NA	Cerrado_IBGE	13	5	2016	19	5.26	30.9	7.492	38.3	10.424
M_atticolus	70/12A	F	17	46.2	1.5	37	NA	NA	Cerrado_IBGE	13	5	2016	19	4.781	26.9	6.646	37.6	6.797
M_atticolus	70/13A	M	14.2	45.5	1	38	NA	NA	Cerrado_IBGE	13	5	2016	20.8	5.931	29.5	4.382	37.8	7.492
M_atticolus	70/14A	F	12.9	46.2	1	41	NA	NA	Cerrado_IBGE	13	5	2016	18.5	6.94	27.2	7.32	38.9	7.981
M_atticolus	70/16A	M	13.1	45.8	1.5	35	NA	NA	Cerrado_IBGE	13	5	2016	21	4.28	26.8	8.077	39.6	8.421
M_atticolus	70/17A	M	10.2	46.2	2	36	NA	NA	Cerrado_IBGE	6	6	2016	19	5.879	28.1	5.739	34.5	8.873
M_atticolus	70/18A	M	12.3	40.6	1	36	NA	NA	Cerrado_IBGE	6	6	2016	21.5	5.671	27.5	8.768	34	5.637
M_atticolus	70/23	M	13.1	44.2	1	39	NA	NA	Cerrado_IBGE	5	7	2016	15.6	NA	26.5	NA	31.4	NA
M_atticolus	70/44	F	12.7	45.7	1	44	NA	NA	Cerrado_IBGE	5	7	2016	17.2	NA	25.4	NA	36.2	NA
M_atticolus	70/47A	NA	NA	NA	NA	34	21	20	Cerrado_IBGE	22	5	2017	NA	NA	27.9	NA	NA	NA
M_atticolus	70/48A	NA	NA	NA	NA	34	65	65	Cerrado_IBGE	22	5	2017	NA	NA	27.7	NA	NA	NA
M_atticolus	70/49A	NA	NA	NA	NA	40	57	57	Cerrado_IBGE	22	5	2017	NA	NA	27.7	NA	NA	NA
M_atticolus	70/51A	NA	NA	NA	NA	40	64	64	Cerrado_IBGE	22	5	2017	NA	NA	27.7	NA	NA	NA
