Campanha	Parcela	Armadilha	Ponto_filtro	Ponto	MSFA_s	MSFB_s	MSFC_s	Massa	ChAb	ChAb	ChAb	Chao	CeFch	CeFch	CeFch	Ceu	CntCau	CntCau	CntCau	Caules	BurCh	Cupim	Distancia	Circunferencia	Tronco
47	BT	1	0	BT0	0.7	7.6	5.2	4.5	11	17	22	16.66666667	0	0	0	0	15	19	11	15	0	1	5.6	20	0
47	BT	2	1	BT1	16.8	6.7	7.6	10.36666667	0	18	3	7	0	0	0	0	10	13	10	11	0	2	0.3	6.7	1
47	BT	3	1	BT1	54.4	7.3	6.2	22.63333333	7	11	11	9.666666667	0	0	0	0	13	7	25	15	0	1	6.5	28	2
47	BT	4	2	BT2	17	23.1	12.5	17.53333333	1	4	0	1.666666667	0	0	0	0	8	71	15	31.33333333	0	1	5.9	32	2
47	BT	5	2	BT2	13.3	8.4	26.9	16.2	4	2	14	6.666666667	0	0	0	0	17	27	20	21.33333333	0	0	4.5	21	3
47	BT	6	3	BT3	4.8	44.5	3.9	17.73333333	6	10	1	5.666666667	0	0	0	0	15	27	20	20.66666667	0	0	5.2	29	4
47	BT	7	3	BT3	21.5	9	6.4	12.3	0	5	0	1.666666667	0	0	0	0	13	14	24	17	0	3	4.2	40	2
47	BT	8	4	BT4	4.1	19.8	4.4	9.433333333	7	3	4	4.666666667	0	0	0	0	12	12	5	9.666666667	0	1	3.1	20	4
47	BT	9	4	BT4	12.3	7.3	1.6	7.066666667	21	1	4	8.666666667	0	0	0	0	8	19	26	17.66666667	0	2	8.75	34	3
47	BT	10	0	BT0	12.1	49.2	12.1	24.46666667	4	2	7	4.333333333	0	0	0	0	17	15	29	20.33333333	0	0	12.6	43	8
47	Q	11	0	Q0	125	36.4	85.2	82.2	0	0	4	1.333333333	12	0	0	4	23	28	25	25.33333333	0	0	1.1	65	4
47	Q	12	1	Q1	54.5	41.4	60	51.96666667	22	4	17	14.33333333	0	10	0	3.333333333	33	24	14	23.66666667	1	2	2.55	23	1
