"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"alpha.phi[1]",-7.88238,-3.20317,1.88576,-3.07837719095657,2.54410647914825,-3.467698321,0.222324130463933,8.7,131,0.99740958658944,1.06215216969461
"alpha.phi[2]",-1.00134,6.10952,14.9334,6.53320236862702,4.31343444755445,5.3684655,0.59790341223045,13.9,52,0.999051666883254,1.08182080102375
"beta.phi[1]",-0.026512,0.1034135,0.223937,0.100212994205016,0.0651555968518874,0.11254933324,0.00640792286670131,9.8,103,0.999294175034791,1.06624984017704
"beta.phi[2]",-0.336656,-0.1218985,0.0507876,-0.130804620908113,0.104926003554877,-0.1083152171,0.0165597612783978,15.8,40,0.999726512428637,1.08758523188239
"beta2.phi[1]",-0.00124808,-0.000495017,0.000308107,-0.000476347379809643,0.00040255783844225,-0.0005358676163,3.66388747192213e-05,9.1,121,0.998283374603378,1.06789050546566
"beta2.phi[2]",-0.000236008,0.000831172,0.00208383,0.000868093788376623,0.000629813884433524,0.0007526303523,9.23140604210144e-05,14.7,47,0.999310567240535,1.09238108911524
"alpha.p[1]",-9.35663,-3.71987,1.50988,-3.8510011394609,2.76444474317151,-3.597533256,0.170239272571743,6.2,264,0.992948593007604,1.03232094434055
"alpha.p[2]",-12.9469,-5.814285,0.498988,-6.03089895489335,3.53044003312981,-5.438302612,0.274591158414041,7.8,165,0.996130187267919,1.08519785640481
"beta.p[1]",-0.104344,0.0299332,0.168655,0.033223292601238,0.069485328755913,0.027787055397476,0.00425163155373139,6.1,267,0.998191322127924,1.03224543440644
"beta.p[2]",-0.0467434,0.1170455,0.297259,0.121924126788893,0.0900537243189679,0.10767617897,0.00743576376028082,8.3,147,0.999005067809092,1.08828170854296
"beta2.p[1]",-0.00111225,-0.000262241,0.000573292,-0.000281648130116287,0.000430138037509612,-0.000248646607327575,2.52947246028623e-05,5.9,289,0.995376149244936,1.03045126653901
"beta2.p[2]",-0.00208112,-0.0009500335,0.000107878,-0.000976547014558207,0.000569438772582899,-0.000897298076900001,4.69214621205697e-05,8.2,147,0.997306986959227,1.08820202602452
"p.AFC[1]",0.0653614,0.1054455,0.147023,0.105831062035,0.0208852709183138,0.10525150452,0.00115398180486364,5.5,328,0.744093833091052,1.01142460670032
"p.AFC[2]",0.330699,0.458782,0.61658,0.466320526025,0.0749256829026164,0.4470035599,0.00325189777486825,4.3,531,0.727105077150353,1.00469587098291
"r.AFC[1]",1.36226,1.732645,2.11757,1.74071908175,0.192548352693662,1.7203158505,0.00573453868086701,3,1127,0.367976203842476,1.00361305085505
"r.AFC[2]",7.98142,12.8753,21.2337,13.71335086275,4.28118543318298,12.04288365,0.116157781099104,2.7,1358,0.662844016894434,1.00718728325144
"var.AFC[1]",67.4141,139.534,267.768,153.59959736,65.9670040907247,125.57459411,3.57265067005589,5.4,341,0.826319027147563,1.01119941486187
"var.AFC[2]",19.0581,33.02925,49.3774,33.86621863,8.20840897000124,31.959526645,0.481906042211611,5.9,290,0.858679403581473,1.00226360088329
"mn.AFC[1]",11.1593,14.71885,19.5921,15.0817252515,2.33919470663266,14.291599275,0.145324938538503,6.2,259,0.8911282344865,1.01219557845956
"mn.AFC[2]",12.2145,15.14235,18.0621,15.239894865,1.52838128946013,14.972036045,0.100641877682115,6.6,231,0.965034293090816,1.00244170990464
"mu.K[1]",2.51518,2.725655,2.92939,2.7287450775,0.106656487875137,2.72123062,0.00733906360933012,6.9,211,0.997555760163041,1.01683951747954
"mu.K[2]",2.50487,2.69818,2.88887,2.69881303025,0.0988043864150499,2.6974333945,0.00676210971624305,6.8,213,0.997517201737913,1.00227706080477
"mu.LI[1]",109.489,109.926,110.362,109.925563175,0.223276388065451,109.93120795,0.00223038274120311,1,10021,0.588598760501358,1.00090295800541
"mu.LI[2]",109.413,109.851,110.291,109.850902875,0.223908896700389,109.85114115,0.00213377337133101,1,11011,0.616359716133042,1.00179979857966
