"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"alpha.phi[1]",-14.2368,0.780316,17.5475,1.56104228692943,8.24819702868066,-0.471795200641148,0.704513174482162,8.5,137,0.99881634333421,1.07939458057644
"alpha.phi[2]",-15.37,-1.17781,15.2633,-0.647848366441653,7.68653307397925,-2.0885234953833,0.62285774378093,8.1,152,0.99813997636229,1.03873380788899
"beta.phi[1]",-2.04785,-0.333313,0.710154,-0.310871530019239,0.8046296577117,-0.26811397993848,0.11162203526763,13.9,52,0.999748709573492,1.24169343716731
"beta.phi[2]",-1.46918,-0.257413,0.677215,-0.344223024280718,0.565248908320102,-0.126007689711435,0.0623812330270488,11,82,0.999582501268662,1.0667662573564
"beta2.phi[1]",-0.00842642,0.0111817,0.0491668,0.0105594048800831,0.0159133295462843,0.0103032809705,0.00167158602336962,10.5,91,0.999398478592637,1.24390571632015
"beta2.phi[2]",-0.00590727,0.0095557,0.0331112,0.0116628093332139,0.0110885159351974,0.00650882050395,0.00104772616646889,9.4,112,0.999058477343186,1.08166989767218
"alpha.p[1]",-13.8115,-2.729725,6.91135,-3.12734232306902,5.16911830222324,-2.13603024413805,0.311045987933334,6,276,0.995770173908886,1.00132582658962
"alpha.p[2]",-25.0375,-9.63929,2.79578,-10.1770876592619,7.31743592246247,-8.515095752,0.536517380457377,7.3,186,0.997479706584989,1.0118955957105
"beta.p[1]",-0.409912,0.08051875,0.692614,0.10849561913395,0.278845181066394,0.0404516235179,0.0171237546518627,6.1,265,0.998761657339745,1.00320107693122
"beta.p[2]",-0.132598,0.507695,1.30967,0.537410051391848,0.380011906620211,0.4460747653,0.0296776627896671,7.8,164,0.999246808030658,1.01251296328513
"beta2.p[1]",-0.0108366,-0.002387565,0.00376178,-0.00283574410561882,0.00378769085964382,-0.00166662725653765,0.000222743146450302,5.9,289,0.996175701569309,1.00571113638082
"beta2.p[2]",-0.0187272,-0.00798946,0.000320938,-0.00847394305181728,0.0050184637935266,-0.0074366250925,0.000365225948358863,7.3,189,0.997318177592419,1.01203169193405
"p.AFC[1]",0.000241462,0.836559,0.999997,0.585026110599293,0.438088947647221,0.98165555195,0.0124468190125595,2.8,1239,0.762488570037654,1.03959893800851
"p.AFC[2]",0.00149138,0.9777575,0.999999,0.699149251519942,0.399359502103761,0.99754578095,0.00849963143713051,2.1,2208,0.713212004696313,1.09748113846216
"r.AFC[1]",0.000100015,0.005841075,10.4682,1.72192186587932,5.06446286483088,0.0011478468569,0.18029771360177,3.6,789,0.993015458782111,1.05396240879605
"r.AFC[2]",0.00010002,0.02782355,25.3516,4.8827804260787,11.7333282074104,0.00339147513245001,0.567870200626302,4.8,427,0.996074908132947,1.13112748619074
"var.AFC[1]",0.000100036,0.002699245,5786.74,14133.9144225066,217092.491051403,0.000737019845049999,4317.41314882632,2,2528,0.583143520718589,1.01820811819073
"var.AFC[2]",0.000100043,0.001120775,143.352,343.359937844763,5394.68097042767,0.000412549171499999,148.344086384716,2.7,1322,0.681004556535411,1.04166872923812
"mn.AFC[1]",0.000100015,0.001908615,1.51974,0.39868145626745,2.13157343329843,0.0005917097984,0.0702674349844897,3.3,920,0.994536804565736,1.01491497504101
"mn.AFC[2]",0.000100042,0.0009233915,0.225122,0.0529937259447252,0.292543895724909,0.000362167837099999,0.0121864090518356,4.2,576,0.996087916681883,1.03040198448713
"mu.K[1]",1.96922e-05,0.4316675,0.940977,0.451282288276705,0.279713061673307,0.33482946375,0.0101651062565677,3.6,757,0.990294758594562,1.00956399422166
"mu.K[2]",0.00229365,0.709319,1.30525,0.721738671339598,0.349383625274021,0.68007825785,0.0119142593846642,3.4,860,0.990870399620364,1.00226540615443
"mu.LI[1]",44.0323,44.88915,45.771,44.89444033,0.441612191442537,44.871324175,0.00636974987124534,1.4,4807,0.907513711933691,1.00164140719162
"mu.LI[2]",44.1274,44.9849,45.8716,44.986005165,0.446129653834537,45.000055895,0.00601773251286503,1.3,5496,0.876607795689901,1.00036425179919
