"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"alpha.phi[1]",-23.3176,-10.3501,3.34969,-10.3345462944657,6.62622957880532,-10.422721335,1.19297523689971,18,31,0.999341861748566,1.17447169010962
"alpha.phi[2]",-11.8185,-1.961825,9.43787,-1.87835406101101,6.06866321400826,-5.38235637335,0.936609729148127,15.4,42,0.999223572579924,1.17389117082422
"beta.phi[1]",-0.0902449,0.3985445,0.908142,0.398476536670852,0.24819295437122,0.3774170698,0.0471404684474767,19,28,0.999831370299033,1.15836739158328
"beta.phi[2]",-0.252976,0.109037,0.433665,0.100953180069188,0.194239575594862,0.205855859275,0.0313240202564527,16.1,38,0.99977717502342,1.17788198159036
"beta2.phi[1]",-0.00768615,-0.003052145,0.00123725,-0.00306235707606192,0.00220010821159079,-0.0028372338975,0.000400332334733561,18.2,30,0.999683298635375,1.14634734859481
"beta2.phi[2]",-0.00329622,-0.000733446,0.00222853,-0.000631346169407,0.00151914849069035,-0.00142552150315,0.000223388069636742,14.7,46,0.999436671682982,1.17798071144877
"alpha.p[1]",-8.7083,-1.341135,4.92313,-1.58719822633599,3.32848196578155,-1.15798957382198,0.191762796398094,5.8,301,0.993687043096572,1.06798974849538
"alpha.p[2]",-9.18363,-3.817925,1.28496,-3.84558110557742,2.84175529046083,-3.534210511,0.175518491338185,6.2,262,0.993450509032244,1.07894372386959
"beta.p[1]",-0.198525,0.04718535,0.315826,0.0529187255723008,0.124860942297599,0.0391972791496014,0.00726057874699868,5.8,296,0.998017992360088,1.05895599368388
"beta.p[2]",-0.0599198,0.129458,0.326264,0.130296668279297,0.103496961293605,0.134223238105,0.0062114915469421,6,278,0.997972063275536,1.07555261468864
"beta2.p[1]",-0.00367128,-0.00120694,0.000985783,-0.00124251571128006,0.00113077800037478,-0.00116669338925,6.33670235357101e-05,5.6,318,0.994898717583022,1.05069809810182
"beta2.p[2]",-0.00360717,-0.001817105,-0.000144558,-0.0018281474938535,0.000916588086112777,-0.001783661477,5.59799037498661e-05,6.1,268,0.994784232127261,1.07036187968989
"p.AFC[1]",0.0750801,0.180775,0.386505,0.204759749585,0.090315762794292,0.1449963488,0.00523996803646947,5.8,297,0.880368025565322,1.09057851816878
"p.AFC[2]",0.144179,0.2836045,0.533082,0.308495835915,0.106375060004661,0.2555206364,0.00615078385395451,5.8,299,0.893166937346116,1.02123915766628
"r.AFC[1]",0.154136,0.3582435,0.825843,0.4096764977,0.202777565767095,0.2933599746,0.0110636272216934,5.5,336,0.880085668111687,1.03334683489678
"r.AFC[2]",0.310898,0.8440425,2.3562,1.037417183625,0.739776335135225,0.6306746751,0.0402416248363586,5.4,338,0.905603536341515,1.06526337882083
"var.AFC[1]",1.24159,10.07935,26.4083,11.30493591845,8.18144858746835,4.8892435435,0.527437230867173,6.4,241,0.834882303240144,1.17282679755058
"var.AFC[2]",2.40018,6.54753,16.6284,7.95492108374999,4.23971608988195,5.215584173,0.257097703653903,6.1,272,0.862793583825757,1.10761469449434
"mn.AFC[1]",0.664832,1.511485,3.44446,1.761116803,0.867104693860162,1.0766366075,0.0895494614504987,10.3,94,0.941347614679691,1.18713204344888
"mn.AFC[2]",1.13925,2.10179,3.32038,2.15762278465,0.66370434047174,1.6588268515,0.0680512609360806,10.3,95,0.93733697701658,1.20358313341088
"mu.K[1]",0.749637,1.41015,1.77769,1.314823519975,0.317154311441576,1.5465057185,0.0286491779401776,9,123,0.99189550058793,1.18795510126785
"mu.K[2]",0.713758,0.971007,1.38391,1.018044042075,0.197648310840098,0.88201615655,0.0163653127043629,8.3,146,0.981769338809192,1.15789814896291
"mu.LI[1]",79.3769,79.8146,80.2568,79.815763605,0.225242363811663,79.811310365,0.00202168923752285,0.9,12413,0.221770987978019,1.00266730605844
"mu.LI[2]",79.4085,79.8314,80.2825,79.831232745,0.223358489972155,79.83964693,0.00211915189897968,0.9,11109,0.242576920110145,1.00328711930781
