"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"phiJS[1,1]",0.8645961824925,0.083546501014361,0.65738085,0.881583,0.973369025,1.02,1310
"phiJS[2,1]",0.89361911273,0.0585420313145211,0.751861725,0.902375,0.9742,1.01,2823
"phiJS[3,1]",0.85726567631,0.0705626862162146,0.691491975,0.86619,0.962401,1.01,2532
"phiJS[4,1]",0.8176843870075,0.0899756509049741,0.604179525,0.828534,0.95089605,1.02,2218
"phiJS[5,1]",0.84210078287,0.0787233455959595,0.655013725,0.851903,0.958740025,1.01,2376
"phiJS[1,2]",0.866722461355,0.0850804099537394,0.655688725,0.884328,0.976502025,1.02,1210
"phiJS[2,2]",0.8956107551325,0.0595157451169994,0.75351075,0.9040095,0.977870025,1.01,2316
"phiJS[3,2]",0.860627399665,0.0721934006842613,0.694614875,0.8692525,0.967194025,1.01,2076
"phiJS[4,2]",0.82336834032,0.0903947803276704,0.614433775,0.8332925,0.958758025,1.02,1779
"phiJS[5,2]",0.8477274668325,0.0784055671603841,0.666954675,0.8568185,0.964641025,1.01,1854
"phiJS[1,3]",0.8614454204475,0.0845925547179314,0.652069975,0.878932,0.972614025,1.02,1083
"phiJS[2,3]",0.892357650215,0.0571008457124023,0.756290975,0.899478,0.973325075,1.01,2171
"phiJS[3,3]",0.8572130025775,0.0683318499441258,0.7009659,0.864461,0.962015025,1.01,1901
"phiJS[4,3]",0.82008974358125,0.0853984289592425,0.624753975,0.828132,0.95061405,1.01,1666
"phiJS[5,3]",0.8419385579275,0.0754566092080567,0.668140925,0.849568,0.9571872,1.01,1810
"phiJS[1,4]",0.86523920546,0.0822179831062432,0.660886925,0.882144,0.9724,1.02,1074
"phiJS[2,4]",0.8970188024425,0.0534128947317237,0.770747475,0.904249,0.973106,1.01,2221
"phiJS[3,4]",0.862963421765,0.0648484264296234,0.7147687,0.870819,0.96168905,1.01,2039
"phiJS[4,4]",0.82716101461,0.0819845984983747,0.639573825,0.8365515,0.950527025,1.02,1908
"phiJS[5,4]",0.84757940409,0.0723803889385802,0.680457,0.856143,0.957295125,1.01,1962
"phiJS[1,5]",0.8422532673325,0.0871733729298817,0.6298688,0.8572935,0.96504405,1.01,1812
"phiJS[2,5]",0.87427476247,0.0597545542058151,0.728459,0.8816865,0.963768,1.01,7027
"phiJS[3,5]",0.8324727591675,0.071220372874021,0.66363495,0.83913,0.9477591,1,6636
"phiJS[4,5]",0.7859770237455,0.0892001060785544,0.57229365,0.794838,0.929351125,1.01,6217
