"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"phiJS[1,1]",0.76157,0.927855,0.998792,0.9087741838,0.0754284166737319,NA,0.000522099725312453,0.7,20872,0.0183316522891934,1.01756709873009
"phiJS[2,1]",0.758751,0.9313475,0.998203,0.9104521889,0.078622703778305,NA,0.000418433421224053,0.5,35306,0.0173736174129148,1.01601562419093
"phiJS[3,1]",0.697765,0.90581,0.998667,0.882810657235,0.0935649329057383,NA,0.000605341932219288,0.6,23890,0.0168690853665974,1.01580770928952
"phiJS[4,1]",0.672623,0.902255,0.998456,0.87560880637,0.101600272172036,NA,0.000936484109806915,0.9,11770,0.0419059575942219,1.01086272676682
"phiJS[5,1]",0.708776,0.921507,0.99902,0.8951688024,0.0949786587217045,NA,0.000537517624742227,0.6,31222,0.0068961112756086,1.01178263146238
"phiJS[1,2]",0.711244,0.918449,0.999048,0.894057016975,0.0903901482511167,NA,0.00052694081660533,0.6,29425,0.0100971732065504,1.01488738731246
"phiJS[2,2]",0.61273,0.911825,0.999297,0.8728139461575,0.122139005332863,NA,0.000930868647431541,0.8,17216,0.0339425474753989,1.01624258849177
"phiJS[3,2]",0.692589,0.903311,0.997741,0.880025005,0.0946150507040091,NA,0.000596352615783315,0.6,25172,0.0137751213612758,1.01481920672738
"phiJS[4,2]",0.686838,0.9042685,0.998314,0.879399411125,0.0967864422704491,NA,0.000856665599938453,0.9,12765,0.0277723635644225,1.01105572992558
"phiJS[5,2]",0.724499,0.923313,0.998597,0.8992861649675,0.088788671191225,NA,0.000500594164706113,0.6,31459,0.00615127895427841,1.01191065357346
"phiJS[1,3]",0.695621,0.912821,0.998255,0.887488049375,0.094425874685644,NA,0.000616837437728707,0.7,23434,0.0258447902545838,1.01506438713585
"phiJS[2,3]",0.690638,0.9167145,0.99897,0.888827165775,0.0984414531540782,NA,0.000605719964811203,0.6,26413,0.021726305738407,1.01126351243651
"phiJS[3,3]",0.699105,0.9031145,0.997579,0.88122735165,0.0912155100441269,NA,0.000781328448220719,0.9,13629,0.0350249552636261,1.01649102894025
"phiJS[4,3]",0.651427,0.894516,0.998424,0.866843861325,0.106978118349176,NA,0.00107334110012559,1,9934,0.0443339835226296,1.01026330544998
"phiJS[5,3]",0.730028,0.921117,0.998292,0.8987374276825,0.0858335451188409,NA,0.000550447839803334,0.6,24315,0.013723475514152,1.01306496971442
"phiJS[1,4]",0.732146,0.9196575,0.998878,0.898103475425,0.0835273821169961,NA,0.000499479950017045,0.6,27965,0.0173836834726412,1.01853392400501
"phiJS[2,4]",0.750445,0.9274105,0.998679,0.9067072237,0.0788432972038677,NA,0.000481603877157031,0.6,26801,0.0164594375648687,1.01446588878072
"phiJS[3,4]",0.676044,0.897937,0.998417,0.873231127125,0.0998384017775382,NA,0.00070390165549849,0.7,20117,0.0153591368687283,1.01619666855111
"phiJS[4,4]",0.669451,0.8990425,0.997598,0.8728062722,0.101612546608731,NA,0.000955277721455817,0.9,11315,0.0402818136647474,1.01056624222981
"phiJS[5,4]",0.744198,0.9239015,0.998982,0.90297285365,0.081378919026887,NA,0.000476314688022647,0.6,29190,0.00558911462963437,1.01193541839456
"phiJS[1,5]",0.762111,0.9274945,0.999008,0.90839227425,0.0744671888993334,NA,0.00053908971769414,0.7,19081,0.0204058728850432,1.01479240168642
"phiJS[2,5]",0.755353,0.9301095,0.99908,0.909406566875,0.0777812657603061,NA,0.000490995051795691,0.6,25095,0.0111046540944912,1.0143524352293
"phiJS[3,5]",0.702784,0.9062445,0.998564,0.883589124575,0.0918637058164486,NA,0.000638912236442886,0.7,20673,0.0259373546886295,1.01628181190358
"phiJS[4,5]",0.691797,0.905847,0.998677,0.88068720285,0.0969418689222374,NA,0.00098044644741068,1,9776,0.053304930796142,1.01076394366739
"phiJS[5,5]",0.754316,0.9292515,0.999138,0.908908362075,0.0777604300938481,NA,0.000494747244992471,0.6,24703,0.00426096435397793,1.01452712764578
"phiJS[1,6]",0.775547,0.929084,0.998764,0.91182105205,0.069757492134106,NA,0.000492510557198226,0.7,20061,0.0181168684991435,1.01267388470661
