"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"phiJS[1,1]",0.921551067337423,0.11442713556908,0.572100873592306,0.965314376142798,0.998901349935543,1,3300
"phiJS[2,1]",0.913238829221306,0.118153810108445,0.553117511017629,0.958339009197385,0.998505895360183,1,5333
"phiJS[3,1]",0.873792025905485,0.152333293259995,0.420324978548703,0.932514948282322,0.997546862262066,1,4303
"phiJS[4,1]",0.894264630717739,0.131787388260792,0.503090443974972,0.944160483660864,0.997798604754509,1,4885
"phiJS[5,1]",0.770424753942945,0.219620779160017,0.20773224951483,0.847178753285739,0.993910634722081,1,2862
"phiJS[1,2]",0.918720742047491,0.11575987106568,0.570112718982757,0.96290954227169,0.998863758690553,1,3640
"phiJS[2,2]",0.913331198979301,0.114190733219197,0.575962164659385,0.956750105364045,0.998543191994282,1.01,5941
"phiJS[3,2]",0.875657919471536,0.14670339709968,0.443993370793844,0.930895209352371,0.997529796712413,1,4961
"phiJS[4,2]",0.872762215862635,0.152064388944699,0.42623136965776,0.931572131176726,0.997635112184436,1,4733
"phiJS[5,2]",0.73906083759374,0.23458491387291,0.171321753970984,0.81434353713606,0.993588343089785,1,3234
"phiJS[1,3]",0.915691714299131,0.111618534798144,0.584517269585107,0.957935108355589,0.998227176807759,1,5127
"phiJS[2,3]",0.905995774383117,0.110807647497277,0.580109506365739,0.946676922569301,0.997613069664232,1,12818
"phiJS[3,3]",0.898471320878476,0.10799870617296,0.598126349314648,0.935571859675822,0.996289238116801,1,8244
"phiJS[4,3]",0.839192530949059,0.171945675134987,0.357155291044141,0.903974217073325,0.99543704520246,1,11122
"phiJS[5,3]",0.588982390237063,0.274481192755448,0.0834969071879095,0.614386100806394,0.982539472342025,1,5948
"phiJS[1,4]",0.92330110313005,0.103663945589986,0.611865990698134,0.962101565683064,0.998466778110686,1.01,4763
"phiJS[2,4]",0.920726547211169,0.0964757965135658,0.639250970549736,0.955973644300472,0.998001695389686,1,10339
"phiJS[3,4]",0.909852802430338,0.0987597401662613,0.632553097441638,0.944038052004677,0.996981634628458,1,7843
"phiJS[4,4]",0.826293371567417,0.187718881992754,0.310466153876056,0.899234851360326,0.996250457585448,1,8012
"phiJS[5,4]",0.699594901636365,0.24614686658922,0.143160018125955,0.76689664691748,0.989442852952224,1,6730
"phiJS[1,5]",0.92765209919879,0.101608640661358,0.624530727259206,0.965401396424941,0.998779570133356,1,3537
"phiJS[2,5]",0.921420634794232,0.0966936701470143,0.639910635766265,0.957620173793608,0.99837036473205,1,6281
"phiJS[3,5]",0.915714170890865,0.0950080715619696,0.645123041516346,0.949039572441053,0.997623395104308,1,5955
"phiJS[4,5]",0.85893011125898,0.164489021004159,0.379339281117886,0.92349994364823,0.997318528938143,1,5610
"phiJS[5,5]",0.748306446561612,0.226015398087198,0.194010265034383,0.819012406545292,0.993072129259095,1,3648
"phiJS[1,6]",0.914791606672617,0.103469473926687,0.613273028678124,0.952863693268594,0.997903503071002,1,6979
"phiJS[2,6]",0.910277551179322,0.0978425607580272,0.633603816416972,0.944978846975219,0.997246147405877,1,16038
"phiJS[3,6]",0.887630131738259,0.112216518943575,0.581105064718201,0.92463519324024,0.995711936309848,1,12913
"phiJS[4,6]",0.865890809886281,0.139657983274756,0.474876071869761,0.915478247931354,0.995605848538438,1,15680
"phiJS[5,6]",0.753082201389006,0.204395286142517,0.250730659271901,0.809481725111215,0.988929324722869,1,7536
"phiJS[1,7]",0.862210936478854,0.154098648801576,0.420446357823086,0.920036565353929,0.99672571875489,1.01,3585
"phiJS[2,7]",0.87478089789491,0.119204927157288,0.556226196210328,0.913644345648778,0.995716239387917,1,7305
"phiJS[3,7]",0.78730462573772,0.168767642518377,0.385736522361053,0.828799568659721,0.990734420241974,1,6913
"phiJS[4,7]",0.839528532036829,0.154454918205391,0.424187823086671,0.889729213977766,0.993773157658134,1,3527
"phiJS[5,7]",0.839581806372339,0.133079783629696,0.495234364489149,0.876024886671751,0.99050362151105,1,3054
"phiJS[1,8]",0.870898390074887,0.139678215777265,0.475797301240187,0.920774447404708,0.996546760406211,1.01,3160
"phiJS[2,8]",0.724107966713688,0.2078740070023,0.283306479161235,0.763155701715035,0.990834711210924,1,3265
"phiJS[3,8]",0.813283226053681,0.154372134983839,0.432646029309303,0.855674770849118,0.991276084516687,1,6842
"phiJS[4,8]",0.78245435709367,0.159393525311236,0.424070271545151,0.812830282009114,0.989810340016802,1,7171
"phiJS[5,8]",0.811896734019442,0.136864820759516,0.485567234548258,0.841266761250121,0.987532927351261,1.01,3584
"phiJS[1,9]",0.884347799268554,0.123334039519912,0.541100703706359,0.927490420496006,0.996572944249373,1,3268
"phiJS[2,9]",0.882859311761232,0.11348046712669,0.573090225043208,0.919682491041489,0.995336815094949,1,8255
"phiJS[3,9]",0.85701034884073,0.124529330288663,0.533074333419613,0.893700510490499,0.993043802395544,1,7078
"phiJS[4,9]",0.753588916298647,0.182278598664354,0.35023598337824,0.788849251011044,0.989186689539765,1,6151
"phiJS[5,9]",0.393756510313279,0.244909115597155,0.0452316528480656,0.347418117815329,0.92687653891447,1,1511
"phiJS[1,10]",0.889711338344906,0.126311938920061,0.522838741375331,0.935833690543808,0.997218097020591,1.01,3809
"phiJS[2,10]",0.801432805399792,0.189006358819067,0.320462774056114,0.867180946309984,0.994472605348902,1,5505
"phiJS[3,10]",0.872926348728527,0.116986256127011,0.561670064819088,0.909581683334965,0.994403089538134,1,7047
"phiJS[4,10]",0.829300687298938,0.152138090938675,0.441719839712544,0.87619665771191,0.993643999212921,1,11644
"phiJS[5,10]",0.662293820105961,0.243161426742119,0.13919623880622,0.708699136972837,0.98278197164863,1,5992
"phiJS[1,11]",0.907054797510546,0.111851203101037,0.579602554435728,0.947867116820224,0.99768464719181,1.01,4361
"phiJS[2,11]",0.86255403834162,0.147816920310226,0.443163428938556,0.916942024637142,0.996167096596892,1,12716
"phiJS[3,11]",0.850933726698142,0.142501924275057,0.465876828677222,0.897256008296224,0.99450128485799,1,11920
"phiJS[4,11]",0.765248107399805,0.202294780826051,0.286111056224318,0.824398378919077,0.992557824466774,1,6194
"phiJS[5,11]",0.730688263091544,0.220941020137695,0.192227055591146,0.79250693219727,0.988057430204766,1,7927
"phiJS[1,12]",0.930191751448379,0.094625555045043,0.650603668735842,0.965368491530613,0.998700816213171,1,3953
"phiJS[2,12]",0.908809336859437,0.114971651895353,0.566516558016848,0.952732024230642,0.998149484156046,1,8255
"phiJS[3,12]",0.894052662707368,0.117021769212051,0.559641141865222,0.935887033109009,0.997186547938459,1,6919
"phiJS[4,12]",0.866466630767077,0.150246168579807,0.435989178659125,0.924096599273055,0.997061593746188,1,5837
"phiJS[5,12]",0.80342860039185,0.189359518501868,0.289281906462902,0.867727144058464,0.993667142167117,1,3425
"phiJS[1,13]",0.931986098082311,0.092317230660723,0.661915686590247,0.966292626741074,0.99864709948232,1.01,4037
"phiJS[2,13]",0.832081246584631,0.203148174775097,0.255429278623559,0.919903472304576,0.997487317599631,1.01,5161
"phiJS[3,13]",0.90079647816515,0.109203410649149,0.591678837213037,0.939450190158051,0.996954925736473,1,6647
"phiJS[4,13]",0.883441716029787,0.132431732472971,0.500530327947535,0.933235163863442,0.997071373874104,1,5915
"phiJS[5,13]",0.812305419884997,0.182237177243873,0.312193535051177,0.874310366295515,0.993204164969928,1,3593
"phiJS[1,14]",0.934518326970363,0.0911548541771802,0.66442191379295,0.967923759328916,0.998779558093791,1.01,3072
"phiJS[2,14]",0.858013751168701,0.184297376403335,0.303511526026949,0.936303180454316,0.997847043372865,1,6066
"phiJS[3,14]",0.907927134347145,0.105253355390164,0.605024380139179,0.945841415585355,0.997345777314021,1.01,5999
"phiJS[4,14]",0.897471058609448,0.120942710131378,0.543718558538217,0.942509613406456,0.997511184289798,1,6982
"phiJS[5,14]",0.820451583765666,0.18025807856589,0.318394899338585,0.883662550901605,0.993989619968436,1,3349
"phiJS[1,15]",0.93480902012497,0.0877145077800223,0.67876891980599,0.966814614821835,0.998640233308805,1.01,3762
"phiJS[2,15]",0.862255240091925,0.176168762246345,0.33234739593237,0.935944563145112,0.997587418850706,1,7286
"phiJS[3,15]",0.908144879237885,0.101777888164653,0.616904707506235,0.943879325442032,0.996940323889034,1,7378
"phiJS[4,15]",0.875742342297785,0.140027285425951,0.475325981712442,0.929140984602096,0.996830581086294,1,9922
"phiJS[5,15]",0.820179314887434,0.175548836630958,0.336147214711208,0.879754273004915,0.993199207667219,1,4988
"phiJS[1,16]",0.920119167081465,0.101808254085856,0.620066996706502,0.957619929721073,0.998259800229229,1,4662
"phiJS[2,16]",0.857153904957532,0.170646243424408,0.356936258799066,0.925799672387985,0.997247306335566,1,11729
"phiJS[3,16]",0.895995817070785,0.108719612674682,0.589046355732053,0.933170721778074,0.996280211253929,1,10686
"phiJS[4,16]",0.886602490413292,0.121187391763369,0.546512909791952,0.929561112463828,0.996333956861854,1,10718
"phiJS[5,16]",0.80978028776812,0.176886446350475,0.336279231532545,0.866894342220756,0.99204511552955,1,4231
"phiJS[1,17]",0.901031315795279,0.122179543283128,0.541459181225674,0.946806580454934,0.997912840568991,1.01,4174
"phiJS[2,17]",0.853113442931944,0.166017501588365,0.373496317862229,0.916618090393758,0.996707191737144,1,10882
"phiJS[3,17]",0.854710936686991,0.137873977095186,0.489816514448526,0.899972635542622,0.994799352261514,1,10488
"phiJS[4,17]",0.90203181498311,0.0979394209032702,0.635120322549744,0.934591363661822,0.996405359184891,1,7816
"phiJS[5,17]",0.693285898226722,0.238236027898065,0.156877834314399,0.751369785333067,0.987167547095433,1,5349
"phiJS[1,18]",0.902764013197641,0.113966906057592,0.568272155589437,0.944534556841074,0.99741435198715,1.01,4467
"phiJS[2,18]",0.861316339459247,0.153031241986295,0.420507780365699,0.917901954993668,0.996324917080425,1,13650
"phiJS[3,18]",0.729481359732933,0.20698271454767,0.279417174978448,0.773483932465761,0.990270338476504,1,10685
"phiJS[4,18]",0.910397367468436,0.087498454143651,0.66814116458055,0.938347158780715,0.996037834613309,1,8762
"phiJS[5,18]",0.506853267631431,0.271827157976772,0.0639147589653998,0.491662914085664,0.97058596954642,1,6684
"phiJS[1,19]",0.884209589298798,0.12885312011981,0.514380958962398,0.930881875147021,0.996970529741698,1.01,2995
"phiJS[2,19]",0.855595373023404,0.150180407750689,0.434092662624,0.908437024406378,0.995454974822157,1,7590
"phiJS[3,19]",0.654379506560728,0.228815166247855,0.212222348664172,0.676442331928551,0.984955968165689,1,8773
"phiJS[4,19]",0.570791178119767,0.263516360285852,0.105319540610718,0.56952734206642,0.982448036005269,1,6991
"phiJS[5,19]",0.504004483695997,0.270782885944271,0.0618981761912991,0.489656970271469,0.96807457240793,1,6870
"phiJS[1,20]",0.847309722429225,0.161604792068075,0.400015367302027,0.9068617123744,0.996374749670887,1.01,3098
"phiJS[2,20]",0.864627959914567,0.138407200629815,0.478595964587731,0.912587380887813,0.995362579013811,1,5833
"phiJS[3,20]",0.734868760898805,0.201425425088655,0.287724184164451,0.77892454179947,0.989102856944001,1,12810
"phiJS[4,20]",0.421131307630009,0.262728243324989,0.0581545377636278,0.36239273551195,0.960526780095938,1,4668
"phiJS[5,20]",0.496647655994473,0.271721246565127,0.0574219857810452,0.478664443339056,0.965695751689589,1,3908
"phiJS[1,21]",0.842554879962647,0.16981126444392,0.368981638952058,0.906130508046957,0.996491313381871,1.01,2245
