"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"phiJS[1,1]",0.81308907259075,0.191273825911563,0.284193225,0.882748,0.99409205,1.01,5929
"phiJS[2,1]",0.892812748675,0.115170397114122,0.566112725,0.9337205,0.99588205,1,19582
"phiJS[3,1]",0.859640240625,0.134767223042862,0.49138295,0.9036925,0.9937421,1,19356
"phiJS[4,1]",0.719955814068,0.23282811512362,0.173426775,0.7874605,0.987872375,1,21982
"phiJS[5,1]",0.77087139185375,0.204752596779497,0.250166875,0.8361755,0.9908801,1,22838
"phiJS[1,2]",0.8141019719475,0.191050924534631,0.28466165,0.8837655,0.994269025,1.01,6473
"phiJS[2,2]",0.898464154525,0.107184602749344,0.596382475,0.935379,0.996127,1,21284
"phiJS[3,2]",0.8678517022675,0.127688760840864,0.5148964,0.9099105,0.994022,1,22342
"phiJS[4,2]",0.7548974827675,0.213068086462375,0.2232193,0.8205985,0.989851,1,24814
"phiJS[5,2]",0.812865885144,0.176354236509663,0.339914225,0.871038,0.9920701,1,25313
"phiJS[1,3]",0.81039598428175,0.19368555689342,0.2731846,0.8817485,0.99391905,1.01,6039
"phiJS[2,3]",0.904117751875,0.0992994019538098,0.626360275,0.937942,0.996135125,1,22260
"phiJS[3,3]",0.8733777625875,0.121837357756379,0.5413674,0.913591,0.9937961,1,14459
"phiJS[4,3]",0.77423204597075,0.202147847000208,0.248733175,0.839115,0.989961025,1,28485
"phiJS[5,3]",0.83651078974,0.148991855760929,0.439519625,0.883233,0.992551125,1,16033
"phiJS[1,4]",0.8102504793565,0.192885381871582,0.2750441,0.879389,0.99387215,1.01,6162
"phiJS[2,4]",0.912458226075,0.0910701750372536,0.659338225,0.943286,0.996307025,1,22677
"phiJS[3,4]",0.87538601855,0.121030893016172,0.53890965,0.915067,0.994133175,1,12316
"phiJS[4,4]",0.77515919274525,0.203569885065728,0.24808245,0.8407805,0.990519075,1,25069
"phiJS[5,4]",0.8441630174525,0.143477387386522,0.459849775,0.889279,0.992686625,1,16981
"phiJS[1,5]",0.820181487985,0.185434924561881,0.304042125,0.8882785,0.994290075,1.01,6122
"phiJS[2,5]",0.8763958339,0.126921157392157,0.5242441,0.9215505,0.99573005,1,16156
"phiJS[3,5]",0.81998921568,0.1594888902953,0.411148225,0.86938,0.992117225,1,14920
"phiJS[4,5]",0.67137527318825,0.240578499988389,0.161433475,0.7165565,0.986010375,1,15699
"phiJS[5,5]",0.4895558150325,0.231174788606129,0.130831825,0.453743,0.957564675,1,5921
"phiJS[1,6]",0.8207587091,0.182873841480975,0.307014075,0.8870005,0.9941923,1.01,7526
"phiJS[2,6]",0.893946741975,0.109918560573778,0.584734875,0.932034,0.995941,1,17296
"phiJS[3,6]",0.777218894965,0.183477848937727,0.33626195,0.82707,0.99024505,1,9620
"phiJS[4,6]",0.664079289868,0.246322055361688,0.1403778,0.712609,0.98488115,1,13793
"phiJS[5,6]",0.792024455775,0.168743753402846,0.38928955,0.8358845,0.990620325,1,17525
"phiJS[1,7]",0.8225361874975,0.182834415167653,0.3096807,0.8879555,0.994158025,1.01,5762
"phiJS[2,7]",0.904785965175,0.0983155232457244,0.6291205,0.9380915,0.9962931,1,21390
"phiJS[3,7]",0.8809777999225,0.110594410729018,0.5842964,0.9163,0.993954025,1,15088
"phiJS[4,7]",0.680585677704,0.244857282054397,0.137562825,0.7369625,0.985982425,1.01,8494
"phiJS[5,7]",0.74469693091,0.18956396421027,0.3285321,0.783656,0.98779615,1,12892
"phiJS[1,8]",0.8282767278225,0.17689459694228,0.336100125,0.8917095,0.994355,1.01,4940
"phiJS[2,8]",0.904338364525,0.0988384731285893,0.6288389,0.9382215,0.99627705,1,18799
"phiJS[3,8]",0.895601003825,0.0962849296198629,0.639060525,0.925479,0.99439205,1,14894
"phiJS[4,8]",0.85919404472,0.129935005392527,0.5117229,0.899722,0.9926213,1.01,13011
"phiJS[5,8]",0.6756771940925,0.21384728435998,0.25555365,0.696595,0.984816125,1,8902
"phiJS[1,9]",0.83273980384,0.173043926623439,0.34437035,0.894579,0.994255025,1.02,5521
"phiJS[2,9]",0.8832878701,0.118842545955932,0.556045925,0.9248375,0.995730075,1,17818
"phiJS[3,9]",0.884514007175,0.103282304746368,0.6150036,0.9160855,0.9941041,1,13061
"phiJS[4,9]",0.65185364937,0.215544949333473,0.234364625,0.66355,0.980350225,1.01,6972
"phiJS[5,9]",0.860107242575,0.12520333614469,0.528490325,0.897713,0.99322405,1,19172
"phiJS[1,10]",0.82647941343,0.176311922914812,0.338537975,0.889994,0.9939563,1.01,5152
"phiJS[2,10]",0.89794471115,0.103899735277882,0.606511275,0.9328745,0.99594505,1,22638
"phiJS[3,10]",0.87335084225,0.111850792694554,0.579440775,0.907511,0.99339115,1,17845
"phiJS[4,10]",0.790729113185,0.169961853693057,0.37622775,0.8372655,0.989542175,1,19132
"phiJS[5,10]",0.8952915572,0.0941412655759003,0.6427403,0.9232665,0.993839175,1,11718
"phiJS[1,11]",0.82476877257725,0.176240107044266,0.335361125,0.887092,0.9937971,1.01,6116
