"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"alpha.phi",-6.23281,-3.25752,-0.482584,-3.30992706532795,1.47847947790268,NA,0.121442655270542,8.2,148,0.996425305434418,1.08113906208085
"beta.phi",0.0469232,0.1233455,0.207809,0.125147555840387,0.0416401320898322,NA,0.00404351202712256,9.7,106,0.99896253584882,1.08700027800272
"beta2.phi",-0.00124811,-0.000676644,-0.000164174,-0.000689266675649688,0.000281411712246655,NA,2.58366695893677e-05,9.2,119,0.997694936649454,1.08944098153185
"alpha.p",-6.36392,-2.79121,0.986354,-2.75054760336427,1.89917248965867,NA,0.134790414281219,7.1,199,0.994122344765953,1.06634475062467
"beta.p",-0.0939114,0.0138206,0.112762,0.01288689869316,0.0535869940941645,NA,0.00408777802660858,7.6,172,0.998395793709456,1.06629194583096
"beta2.p",-0.000899193,-0.0002242955,0.000515308,-0.000218454915393812,0.000367110547855403,NA,2.72427026595534e-05,7.4,182,0.996221714690566,1.0638553938501
"p.AFC",0.00132323,0.004525155,0.009889,0.005052144941,0.00245677980892388,NA,1.42724222268193e-05,0.6,29630,0.224529794085193,1.00011428380895
"r.AFC",0.898177,1.022025,1.1562,1.0252553346125,0.0664033484753225,NA,0.00110576149935153,1.7,3606,0.531823926436377,1.00087940791177
"var.AFC",2728.54,49519.95,220004,74081.230884625,79600.5215488243,NA,359.489561727177,0.5,49030,0.109438575062922,1.00015916351108
"mn.AFC",75.5258,223.8485,476.648,247.33409230625,114.55695585898,NA,0.699243281518164,0.6,26840,0.163180219148451,1.00021610580445
"mu.K[1]",3.55695,3.64047,3.72194,3.640453723625,0.0422616129599305,NA,0.000814856480747844,1.9,2690,0.833748992552603,1.00048349601202
"mu.K[2]",3.72013,3.79899,3.87284,3.798810082125,0.038977371344448,NA,0.000619275431645415,1.6,3961,0.772896224522894,1.0006433391046
"mu.K[3]",3.3639,3.46547,3.56197,3.464669594,0.05063053924176,NA,0.000886869959025142,1.8,3259,0.838232913062608,1.00094977225971
"mu.K[4]",3.15379,3.294175,3.43445,3.292850693875,0.0717985058712948,NA,0.00125616163668507,1.7,3267,0.862697221547391,1.00115491779657
"mu.K[5]",3.42598,3.52309,3.61764,3.522463350375,0.0488837349136749,NA,0.000762398718050716,1.6,4111,0.820362723123703,1.00025879551013
"mu.LI",109.515,109.955,110.381,109.9533780125,0.222558708487859,NA,0.00327322754498637,1.5,4623,0.864340764357071,1.00164889008688
