"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"alpha.phi",-26.3627,-18.71525,-12.2247,-18.7714450456667,3.67720342024371,-17.5394488933333,0.618641465858689,16.8,35,0.998989779019316,1.08651491266758
"beta.phi",0.580351,0.914443,1.24317,0.915677584466667,0.173648275116451,0.864667895866667,0.0311458782143789,17.9,31,0.999584521200373,1.07780011156884
"beta2.phi",-0.0118779,-0.00877072,-0.00552514,-0.00877168165966666,0.00169865763283481,-0.00847428561266667,0.000293709646393809,17.3,33,0.9991155077715,1.06300444309039
"alpha.p",-0.555155,3.989545,8.82024,4.01448965921333,2.38395606926787,4.00280656733333,0.240391191720425,10.1,98,0.997140870471356,1.01799337295004
"beta.p",-0.471343,-0.236249,-0.0238337,-0.237207826566197,0.113665622438006,-0.232417831333333,0.0119343753351681,10.5,91,0.998830326973401,1.01469627810941
"beta2.p",-0.000541128,0.001795215,0.00435662,0.0018134729872546,0.00125293495121179,0.00169628057986667,0.0001333534297531,10.6,88,0.996950341217372,1.01196199713401
"p.AFC",1.513e-87,0.001001755,0.0153933,0.00876393891241021,0.0722531765820677,0.000350413402153677,0.000566357297721952,0.8,16275,0.416540776378418,1.28842130054711
"r.AFC",7.06635e-98,0.003184085,0.00724068,0.00298321194654983,0.00254796048425754,0.000821614053766327,5.74682814043946e-05,2.3,1966,0.739609537405844,1.40090526619891
"var.AFC",0,959.0995,1740270,1.53794510056483e+79,2.07420238472445e+81,115.40717541691,1.90499325047604e+79,0.9,11855,0.531228182354538,NA
"mn.AFC",9.31423e-73,1.80466,74.1389,14.7820469778273,35.0902896189413,0.296440062988189,0.387003825593115,1.1,8221,0.839418278217738,1.61151637062263
"mu.K[1]",3.9384,4.366925,4.82503,4.369203421,0.226722550278294,4.34554652066667,0.00231513589218243,1,9590,0.310109424536595,1.00025141474625
"mu.K[2]",4.2178,4.457405,4.69609,4.45772862966667,0.122139339620513,4.45750517866667,0.00153042735823739,1.3,6369,0.390493861857786,1.00189212417137
"mu.K[3]",4.10665,4.29213,4.49211,4.29392395633333,0.0985017331442369,4.29209971866667,0.00156139415557361,1.6,3980,0.381949735699718,1.00467171198908
"mu.K[4]",2.88657,3.07406,3.26219,3.075195846,0.095925582642716,3.067504776,0.00192864586470333,2,2474,0.406605816408914,1.0352119724479
"mu.K[5]",4.12861,4.335245,4.54276,4.336183374,0.105838664099736,4.33273045333333,0.00164584279119253,1.6,4135,0.364193999001771,1.00179296879136
"mu.LI",79.3519,79.7968,80.2222,79.79670963,0.223102385418465,79.7879124,0.00303219328058933,1.4,5414,0.798517551140521,1.00203648352163
