,mean,sd,2.50%,50%,97.50%,Rhat,n.eff
"phiJS[1,1]",0.905123867,0.074690073,0.70517975,0.9223555,0.990124,1,57697
"phiJS[2,1]",0.896151377,0.083603473,0.6696309,0.915758,0.989235,1,72672
"phiJS[3,1]",0.889254532,0.086812301,0.657248825,0.9089875,0.988379,1,53423
"phiJS[4,1]",0.904613928,0.081331475,0.682803575,0.9253945,0.990816,1,24621
"phiJS[5,1]",0.902470561,0.086354725,0.663320975,0.9245585,0.990550025,1,62479
"phiJS[1,2]",0.884163379,0.097782419,0.6099327,0.909572,0.988392025,1,61373
"phiJS[2,2]",0.857347092,0.125737769,0.490420925,0.894174,0.98624105,1,35840
"phiJS[3,2]",0.886876126,0.088063555,0.650347825,0.9070955,0.988162,1,55812
"phiJS[4,2]",0.906077244,0.078593117,0.693673925,0.92583,0.990826075,1,24026
"phiJS[5,2]",0.90511888,0.082323936,0.67876965,0.925714,0.990668,1,67963
"phiJS[1,3]",0.873182008,0.104306476,0.580353,0.900476,0.98710205,1,45631
"phiJS[2,3]",0.873293443,0.101545306,0.592407775,0.898524,0.987132025,1,62605
"phiJS[3,3]",0.885834672,0.085115901,0.661257925,0.903853,0.987606,1,38350
"phiJS[4,3]",0.896367489,0.085778828,0.66320085,0.9177815,0.989892,1,22542
"phiJS[5,3]",0.903284176,0.079921406,0.686226925,0.9222565,0.990216025,1,58589
"phiJS[1,4]",0.890755646,0.087058843,0.6536408,0.911626,0.988626,1,69489
"phiJS[2,4]",0.894089488,0.081261393,0.674888625,0.912354,0.988933,1,79454
"phiJS[3,4]",0.885886905,0.086382752,0.655590325,0.9047785,0.987784025,1,63324
"phiJS[4,4]",0.902820688,0.080195173,0.685810825,0.922508,0.990504,1,24754
"phiJS[5,4]",0.909442344,0.07388266,0.711181825,0.9268105,0.990742,1,77614
"phiJS[1,5]",0.903258533,0.076215949,0.699120275,0.920903,0.99016,1,50477
"phiJS[2,5]",0.897075724,0.081323316,0.678043975,0.9160515,0.989725,1,59868
"phiJS[3,5]",0.894402497,0.080829292,0.680325875,0.91237,0.989084,1,40045
"phiJS[4,5]",0.908855181,0.076667315,0.70180185,0.9281905,0.991488025,1,21150
"phiJS[5,5]",0.914947782,0.070864877,0.725290925,0.9319905,0.991617025,1,52994
"phiJS[1,6]",0.908250473,0.069509232,0.725168025,0.923561,0.990269,1,51626
"phiJS[2,6]",0.886759037,0.090584169,0.638015875,0.908743,0.988344025,1,68129
"phiJS[3,6]",0.89709305,0.076736471,0.69531895,0.913489,0.988762025,1,41076
"phiJS[4,6]",0.909910002,0.073615737,0.7130639,0.9278795,0.991124,1,20296
"phiJS[5,6]",0.908775746,0.076828781,0.698405775,0.927387,0.990896025,1,64107
"phiJS[1,7]",0.896223797,0.078393733,0.686862475,0.91362,0.989056,1,69088
"phiJS[2,7]",0.89281528,0.080331482,0.678932725,0.909965,0.98856105,1,71781
"phiJS[3,7]",0.896646457,0.074460672,0.704520825,0.9117035,0.988567,1,36732
"phiJS[4,7]",0.907726088,0.072965732,0.71342855,0.9247585,0.99064,1,21161
"phiJS[5,7]",0.907412689,0.074164191,0.7077443,0.924414,0.990401025,1,76097
"phiJS[1,8]",0.903295893,0.070885289,0.7190058,0.9182345,0.989717,1,44166
"phiJS[2,8]",0.901266403,0.071152403,0.7176269,0.915714,0.989452025,1,42050
"phiJS[3,8]",0.873918658,0.095512097,0.61876395,0.8955365,0.986644,1,57757
"phiJS[4,8]",0.903018838,0.076828568,0.698636375,0.921346,0.990312025,1,23443
"phiJS[5,8]",0.900337561,0.080997358,0.6817317,0.9197375,0.99003,1,77392
"phiJS[1,9]",0.893356804,0.079752502,0.6817267,0.911008,0.988750025,1,61980
"phiJS[2,9]",0.836157667,0.130308065,0.477243925,0.8740785,0.983299025,1,37943
"phiJS[3,9]",0.845264289,0.122981531,0.503462925,0.877709,0.984302025,1,55033
"phiJS[4,9]",0.905359101,0.074050301,0.709649725,0.922727,0.990615,1,20607
"phiJS[5,9]",0.903843739,0.077166072,0.6961632,0.921935,0.990332025,1,71401
"phiJS[1,10]",0.884632956,0.087458667,0.649357525,0.904618,0.987853025,1,67206
"phiJS[2,10]",0.867626718,0.101767464,0.589372775,0.8919205,0.986313025,1,78497
"phiJS[3,10]",0.86478089,0.102064466,0.589618775,0.887826,0.985745,1,67193
"phiJS[4,10]",0.887856533,0.092115448,0.63631565,0.9111785,0.989203025,1,28309
"phiJS[5,10]",0.888525035,0.09335661,0.629285825,0.91192,0.988918,1,73483
"phiJS[1,11]",0.89920885,0.074045892,0.705327925,0.914558,0.989222,1,56935
"phiJS[2,11]",0.872446542,0.098151715,0.605655925,0.895621,0.986654,1,88441
"phiJS[3,11]",0.875263118,0.092969346,0.6260063,0.895432,0.986403,1,69373
"phiJS[4,11]",0.89412119,0.085655649,0.662373825,0.914931,0.989594,1,26891
"phiJS[5,11]",0.895101502,0.086643521,0.657804425,0.9160655,0.989646,1,88311
"phiJS[1,12]",0.905902248,0.071751601,0.714785675,0.922026,0.989914025,1,52414
"phiJS[2,12]",0.895239157,0.081267844,0.6768538,0.9140895,0.989165,1,66778
"phiJS[3,12]",0.888998051,0.085042385,0.6613768,0.908146,0.988368,1,51559
"phiJS[4,12]",0.905066589,0.078951669,0.6905689,0.92506,0.99094,1,22001
"phiJS[5,12]",0.907080436,0.078648477,0.692195325,0.926526,0.991009025,1,63278
"phiJS[1,13]",0.899349403,0.076741534,0.694327975,0.916848,0.989169,1,69253
"phiJS[2,13]",0.886196838,0.088467324,0.64378595,0.907212,0.988076025,1,91892
"phiJS[3,13]",0.872228752,0.100195557,0.5970365,0.896312,0.986361,1,71487
"phiJS[4,13]",0.89871746,0.085029231,0.665512575,0.920551,0.990160025,1,26058
"phiJS[5,13]",0.89844181,0.087593718,0.654238775,0.9209,0.98990705,1,71143
"phiJS[1,14]",0.906769775,0.069831517,0.7230369,0.9221235,0.98982,1,58548
"phiJS[2,14]",0.895021951,0.080468391,0.679201725,0.913361,0.988882025,1,78927
"phiJS[3,14]",0.866332032,0.108203068,0.5640539,0.893872,0.986167025,1,64274
"phiJS[4,14]",0.902377286,0.081300441,0.6799878,0.922953,0.990488,1,25568
"phiJS[5,14]",0.902830307,0.08326296,0.672443,0.923763,0.990347025,1,70992
"phiJS[1,15]",0.912882617,0.064404989,0.745241925,0.92654,0.990470025,1,47385
"phiJS[2,15]",0.89396322,0.081556614,0.6742136,0.9126155,0.988806025,1,75100
"phiJS[3,15]",0.860274086,0.114259215,0.538444575,0.8905025,0.98562205,1,54925
"phiJS[4,15]",0.898232256,0.086302722,0.66077785,0.9207,0.99031505,1,25663
"phiJS[5,15]",0.906267202,0.079227678,0.68990765,0.925784,0.990558,1,75850
"phiJS[1,16]",0.909341922,0.068358251,0.728955,0.924396,0.990353025,1,47636
"phiJS[2,16]",0.894682407,0.081829384,0.67376775,0.913766,0.989254025,1,60954
"phiJS[3,16]",0.869652002,0.105686831,0.57634695,0.8963855,0.986742,1,52573
"phiJS[4,16]",0.902491275,0.082401021,0.67729395,0.9237175,0.990825,1,24196
"phiJS[5,16]",0.900125816,0.087677351,0.654521775,0.923028,0.990362,1,54300
"phiJS[1,17]",0.869883632,0.104341246,0.577918,0.8974285,0.98673,1,44015
"phiJS[2,17]",0.875418817,0.096351126,0.613647475,0.8985455,0.987301,1,56980
"phiJS[3,17]",0.8565181,0.11321307,0.544267825,0.885036,0.985325025,1,50018
"phiJS[4,17]",0.853941728,0.133978063,0.4604829,0.8956365,0.98723905,1,18576
"phiJS[5,17]",0.897484976,0.085337951,0.662544625,0.918618,0.989708,1,58527
"phiJS[1,18]",0.870317176,0.107852694,0.565335175,0.89992,0.986672025,1,41595
"phiJS[2,18]",0.851776396,0.123200386,0.501089825,0.887683,0.9854061,1,38965
"phiJS[3,18]",0.873087188,0.099697743,0.6007187,0.8966505,0.987021,1,67815
"phiJS[4,18]",0.872159094,0.117285158,0.5288777,0.906714,0.98864,1,22596
"phiJS[5,18]",0.906839521,0.076853523,0.697301925,0.925116,0.990535,1,72394
"phiJS[1,19]",0.885422262,0.089619239,0.640858925,0.9066365,0.988116,1,74235
"phiJS[2,19]",0.85623304,0.116089289,0.53092095,0.8875775,0.98545405,1,55983
"phiJS[3,19]",0.876269604,0.09343433,0.626134825,0.8968915,0.986917025,1,68082
"phiJS[4,19]",0.860199571,0.127618279,0.484821075,0.8986195,0.987651,1,23506
"phiJS[5,19]",0.906900173,0.074436328,0.706644975,0.9239795,0.990347,1,76782
"phiJS[1,20]",0.881950061,0.092095401,0.63049795,0.904185,0.987633,1,71237
"phiJS[2,20]",0.854301499,0.118065213,0.522969,0.8862835,0.985477,1,53528
"phiJS[3,20]",0.857528397,0.11143642,0.550670775,0.885124,0.985084025,1,71267
"phiJS[4,20]",0.868558584,0.11641506,0.535731625,0.901867,0.98822,1,30433
"phiJS[5,20]",0.8903414,0.092958221,0.63161395,0.914243,0.989113025,1,75692
"phiJS[1,21]",0.89530687,0.078687797,0.686725825,0.912598,0.988762025,1,63543
"phiJS[2,21]",0.872112765,0.100514285,0.59622605,0.8964315,0.98697805,1,81096
"phiJS[3,21]",0.867604117,0.101444901,0.59282585,0.8907635,0.986045025,1,69438
"phiJS[4,21]",0.876030089,0.10777079,0.571066725,0.9055645,0.988645025,1,32621
"phiJS[5,21]",0.896110181,0.086147817,0.659072975,0.91709,0.989533025,1,77631
"phiJS[1,22]",0.876872176,0.095093257,0.621398625,0.8996025,0.987668,1,23737
"phiJS[2,22]",0.86055603,0.109463639,0.56097595,0.8880825,0.98657305,1,22945
"phiJS[3,22]",0.828447418,0.137385571,0.445627875,0.8662155,0.983232,1,24120
"phiJS[4,22]",0.871262773,0.108886057,0.56782455,0.900664,0.988475,1,16711
"phiJS[5,22]",0.891593162,0.088139014,0.6520509,0.9133805,0.989248025,1,21180
"phiJS[1,23]",0.888364888,0.08393613,0.668044825,0.907493,0.988542,1,25001
"phiJS[2,23]",0.837750637,0.130426963,0.475147,0.874027,0.984527025,1,31050
"phiJS[3,23]",0.841017959,0.124695276,0.50006085,0.873023,0.984348,1,31808
"phiJS[4,23]",0.863306246,0.117356882,0.532866925,0.896018,0.988133025,1,21952
"phiJS[5,23]",0.895334063,0.084084885,0.668168875,0.915803,0.989778,1,26893
"phiJS[1,24]",0.890379999,0.083290561,0.669400975,0.909117,0.98860305,1,49876
"phiJS[2,24]",0.848497781,0.12373621,0.50000775,0.882597,0.985049,1,48914
"phiJS[3,24]",0.840924281,0.128035203,0.48144175,0.8749865,0.983755025,1,46274
"phiJS[4,24]",0.877131476,0.104603258,0.586387925,0.9051945,0.988807,1,33458
"phiJS[5,24]",0.904192423,0.076200302,0.700721675,0.921787,0.990437,1,55392
"phiJS[1,25]",0.866606297,0.111770896,0.548186725,0.8973935,0.986256,1,44465
"phiJS[2,25]",0.872371544,0.103681118,0.581150675,0.8988095,0.98679205,1,68084
"phiJS[3,25]",0.861090167,0.112633202,0.544176775,0.889572,0.985501,1,61851
"phiJS[4,25]",0.889609624,0.094435579,0.62722525,0.914404,0.989439025,1,33053
"phiJS[5,25]",0.912915363,0.068379336,0.73214195,0.928131,0.990788025,1,67338
"phiJS[1,26]",0.87084392,0.108550804,0.5620648,0.90065,0.986977025,1,43902
"phiJS[2,26]",0.882176897,0.095375897,0.619114375,0.9056805,0.987697025,1,83207
"phiJS[3,26]",0.869727849,0.105125337,0.578395875,0.895611,0.986359,1,63705
"phiJS[4,26]",0.894378755,0.089781935,0.6481199,0.91776,0.989963,1,31988
"phiJS[5,26]",0.91653127,0.065562294,0.742178,0.931305,0.991246,1,61196
"phiJS[1,27]",0.885197789,0.093998883,0.62410795,0.908976,0.988401,1,59990
"phiJS[2,27]",0.889201281,0.088620746,0.647478975,0.910508,0.988496,1,77893
"phiJS[3,27]",0.875370069,0.099105929,0.6027717,0.899198,0.98688,1,63088
"phiJS[4,27]",0.898172904,0.086457264,0.660418675,0.920644,0.990206,1,28838
"phiJS[5,27]",0.91277334,0.070313417,0.724097975,0.929284,0.990966,1,63467
"phiJS[1,28]",0.893055319,0.083920432,0.66537315,0.91268,0.988745,1,66218
"phiJS[2,28]",0.891973685,0.084188835,0.663969825,0.911196,0.988569025,1,88068
"phiJS[3,28]",0.877625247,0.095878824,0.618210225,0.8998845,0.986949025,1,65353
"phiJS[4,28]",0.888945329,0.096417785,0.618973675,0.914855,0.989498025,1,31592
"phiJS[5,28]",0.913241485,0.06873794,0.729566,0.9288475,0.99079705,1,62850
"phiJS[1,29]",0.902482772,0.076144288,0.699056925,0.919839,0.989869,1,60019
"phiJS[2,29]",0.888789025,0.089525046,0.641665925,0.91054,0.98851905,1,64001
"phiJS[3,29]",0.884492912,0.091166117,0.63730845,0.905702,0.987771,1,55708
"phiJS[4,29]",0.895364584,0.091249307,0.641978475,0.919589,0.990208025,1,27698
"phiJS[5,29]",0.917463197,0.065921314,0.74179365,0.932726,0.991399025,1,51656
"phiJS[1,30]",0.903589816,0.074763136,0.7034808,0.920611,0.98978,1,54887
"phiJS[2,30]",0.894626918,0.083718465,0.666639,0.914272,0.989028025,1,67515
"phiJS[3,30]",0.887859469,0.087285258,0.6537749,0.9076855,0.987979025,1,52193
"phiJS[4,30]",0.898279002,0.087210092,0.6569755,0.9212015,0.990438,1,25936
"phiJS[5,30]",0.919772595,0.0630143,0.75365845,0.9338815,0.991437,1,48618
"phiJS[1,31]",0.900607601,0.074674082,0.703873775,0.91678,0.989331025,1,63368
"phiJS[2,31]",0.894082736,0.080065904,0.681167925,0.911225,0.988527025,1,78050
"phiJS[3,31]",0.888607363,0.082207163,0.6726328,0.905814,0.987922,1,48913
"phiJS[4,31]",0.895767763,0.08521384,0.6656786,0.91675,0.989815,1,30765
"phiJS[5,31]",0.896871366,0.085709252,0.661569775,0.917872,0.989619025,1,71080
"phiJS[1,32]",0.902142011,0.072735618,0.711428,0.9176755,0.98942705,1,55491
"phiJS[2,32]",0.897508049,0.076354238,0.696406825,0.913567,0.988787,1,68826
"phiJS[3,32]",0.890437143,0.079862317,0.683166675,0.906962,0.987915,1,42244
"phiJS[4,32]",0.889139611,0.092728252,0.634012675,0.913013,0.98935,1,31690
"phiJS[5,32]",0.900647471,0.080925031,0.68051445,0.9200995,0.989835025,1,74832
"phiJS[1,33]",0.892145037,0.080675204,0.679887875,0.910124,0.988601025,1,34874
"phiJS[2,33]",0.896667123,0.076053401,0.6982529,0.912864,0.989032,1,29658
"phiJS[3,33]",0.888503189,0.080766876,0.68020715,0.905325,0.987938025,1,21967
"phiJS[4,33]",0.875972644,0.105283869,0.58156195,0.904295,0.988633075,1,25600
"phiJS[5,33]",0.899896825,0.080021268,0.683311625,0.918803,0.989968025,1,38555
"phiJS[1,34]",0.880151637,0.091255931,0.634478875,0.901453,0.987518,1,40823
"phiJS[2,34]",0.898934278,0.073164579,0.711050975,0.9139225,0.989073,1,26585
"phiJS[3,34]",0.889965173,0.079030869,0.68808185,0.9059505,0.988169025,1,19993
"phiJS[4,34]",0.879228032,0.100053119,0.60409185,0.905191,0.988773,1,23654
"phiJS[5,34]",0.902465934,0.076053997,0.701085975,0.91978,0.990222025,1,35746
"phiJS[1,35]",0.893195704,0.079324458,0.684098975,0.910361,0.988719,1,50300
"phiJS[2,35]",0.904110039,0.068599112,0.729537,0.917925,0.98944505,1,32744
"phiJS[3,35]",0.894860902,0.074627177,0.705709925,0.9096325,0.98844605,1,24056
"phiJS[4,35]",0.886510616,0.093341992,0.631844975,0.910047,0.989183025,1,30671
"phiJS[5,35]",0.908004633,0.071139243,0.71964075,0.923892,0.990486025,1,44970
"phiJS[1,36]",0.883761912,0.089856835,0.641611875,0.904842,0.988186025,1,41811
"phiJS[2,36]",0.908283605,0.065512883,0.742229975,0.9216075,0.99007105,1,21720
"phiJS[3,36]",0.897005026,0.073832382,0.709966825,0.911916,0.9888,1,18809
"phiJS[4,36]",0.879403962,0.102479429,0.5945363,0.906613,0.988931025,1,26899
"phiJS[5,36]",0.906869146,0.072334976,0.71618865,0.923252,0.99057705,1,39526
"phiJS[1,37]",0.9027393,0.075026076,0.702746925,0.919808,0.98956,1,55156
"phiJS[2,37]",0.918515345,0.058659467,0.769109775,0.930505,0.990705025,1,28749
"phiJS[3,37]",0.908111603,0.066234612,0.73881895,0.921539,0.989836025,1,23672
"phiJS[4,37]",0.894981136,0.091379423,0.6412339,0.919119,0.990159,1,25613
"phiJS[5,37]",0.894497787,0.093527968,0.629487825,0.919281,0.989687025,1,44832
"phiJS[1,38]",0.903740699,0.075419274,0.701167625,0.921315,0.989979025,1,48858
"phiJS[2,38]",0.921315974,0.057010007,0.776936975,0.933108,0.991338,1,26378
"phiJS[3,38]",0.911214012,0.06455823,0.7464709,0.924816,0.990323025,1,21482
"phiJS[4,38]",0.89939042,0.087987092,0.65606185,0.922658,0.991033025,1,23857
"phiJS[5,38]",0.90109149,0.087342964,0.656767575,0.924038,0.990694025,1,45515
"phiJS[1,39]",0.901765699,0.074797095,0.701904675,0.918487,0.989363025,1,67681
"phiJS[2,39]",0.920283589,0.056511555,0.778000875,0.931455,0.990940025,1,28028
"phiJS[3,39]",0.904762604,0.068454067,0.7290626,0.9186285,0.989205,1,31087
"phiJS[4,39]",0.898192533,0.086185811,0.66098375,0.920323,0.990014,1,29654
"phiJS[5,39]",0.902494001,0.082094901,0.676369675,0.9229595,0.989924,1,75076
"phiJS[1,40]",0.896247983,0.080264861,0.67966955,0.9148425,0.988733,1,68887
"phiJS[2,40]",0.917278566,0.058817665,0.7673719,0.928896,0.990618,1,33753
"phiJS[3,40]",0.906351806,0.066826866,0.73569795,0.919725,0.989498,1,26735
"phiJS[4,40]",0.891204665,0.094360867,0.62857135,0.9162285,0.989582025,1,29281
"phiJS[5,40]",0.906547239,0.076772392,0.698493925,0.924874,0.990361025,1,74306
"phiJS[1,41]",0.898430387,0.078600354,0.686195675,0.916493,0.98905805,1,67018
"phiJS[2,41]",0.919631861,0.056842056,0.7765168,0.930894,0.990721,1,29496
"phiJS[3,41]",0.903988108,0.069190269,0.72679795,0.917904,0.98912605,1,33254
"phiJS[4,41]",0.894902387,0.089838307,0.6467437,0.9184475,0.98983005,1,29124
"phiJS[5,41]",0.910762704,0.072437393,0.716012925,0.9275665,0.99060705,1,72595
"phiJS[1,42]",0.907702801,0.071540536,0.717319925,0.923827,0.990493,1,44164
"phiJS[2,42]",0.924602371,0.053867484,0.788633775,0.9357185,0.99162,1,20212
"phiJS[3,42]",0.908886364,0.066868538,0.737525925,0.922869,0.990066,1,23261
