"","Numero","Data","Local","Especie","Sexo","Condicao_reprodutiva","Nembr","CRC","Observacoes"
"1","GRCOLLI11893",NA,"montealegre","Mabuya_nigropunctata","f","2_em",2,67,NA
"2","GRCOLLI12127",NA,"montealegre","Mabuya_nigropunctata","f","4_em",4,100,NA
"3","LJVITT8852",NA,"jalapao","Mabuya_nigropunctata","f","5_fv",5,96,NA
"4","LJVITT8911",NA,"jalapao","Mabuya_nigropunctata","f","4_fv",4,87,NA
"5","LJVITT8912",NA,"jalapao","Mabuya_nigropunctata","f","1_fv",1,53,NA
"6","LJVITT9275",NA,"jalapao","Mabuya_nigropunctata","f","6_fv",6,92,NA
"7","1206","04.11.96","S_Mesa","M_bistriata","F","5_embrioes_minusculos",5,88.7,"EV"
"8","1355","05.11.96","S_Mesa","M_bistriata","F","4_embrioes_minusculos",4,101.9,NA
"9","1364","05.11.96","S_Mesa","M_bistriata","F","4_embrioes_peq.",4,91.6,"EV"
"10","1380","05.11.96","S_Mesa","M_bistriata","F","3_filhotes_peq.",3,90.7,"EV"
"11","1616","06.11.96","S_Mesa","M_bistriata","F","4_embrioes_muito_peq.",4,102.8,"EV"
"12","2226","08.11.96","S_Mesa","M_bistriata","F","6_embrioes_peq.",6,105,"EV"
"13","3036","14.11.96","S_Mesa","M_bistriata","F","4_embrioes_peq.",4,82.6,"EV"
"14","7902","28.11.96","S_Mesa","M_bistriata","F","4_embrioes_peq.",4,91.5,NA
"15","7903","28.11.96","S_Mesa","M_bistriata","F","5_embrioes_peq.",5,106,"EV"
"16","7905","28.11.96","S_Mesa","M_bistriata","F","6_embrioes_peq.",6,106.8,"EV"
"17","7913","28.11.96","S_Mesa","M_bistriata","F","5_embrioes_muito_peq.",5,95.6,"EV"
"18","7914","28.11.96","S_Mesa","M_bistriata","F","4_embrioes_muito_peq.",4,94.4,"EV"
"19","7918","28.11.96","S_Mesa","M_bistriata","F","7_embrioes_peq.",7,110.3,"EV"
"20","17032","31.12.96","S_Mesa","M_bistriata","F","4_embrioes_peq.",4,84.2,NA
"21","17129","31.12.96","S_Mesa","M_bistriata","F","5_embrioes_peq.",5,89.3,"EV"
"22","17207","02.01.97","S_Mesa","M_bistriata","F","3_embrioes_peq.",3,58.3,"EV"
"23","17553","04.01.97","S_Mesa","M_bistriata","F","5_embrioes_peq.",5,100.7,"EV"
"24","17554","04.01.97","S_Mesa","M_bistriata","F","5_embrioes_peq.",5,95.8,"EV"
"25","17557","04.01.97","S_Mesa","M_bistriata","F","6_embrioes_peq.",6,107.6,NA
"26","17563","04.01.97","S_Mesa","M_bistriata","F","6_embrioes_peq.",6,98.8,"EV"
"27","17577","04.01.97","S_Mesa","M_bistriata","F","6_embrioes__",6,102.5,"EV"
"28","17799","04.01.97","S_Mesa","M_bistriata","F","4_embrioes_peq.",4,64.9,"EV"
"29","17801","04.01.97","S_Mesa","M_bistriata","F","6_embrioes_peq.",6,103.8,NA
"30","17826","04.01.97","S_Mesa","M_bistriata","F","7_embrioes_peq.",7,97,NA
"31","17843","04.01.97","S_Mesa","M_bistriata","F","4_embrioes_peq.",4,99.8,"EV"
"32","17958","04.01.97","S_Mesa","M_bistriata","F","6_embrioes_peq.",6,98.3,NA
"33","18013","04.01.97","S_Mesa","M_bistriata","F","7_embrioes_peq.",7,98.8,"EV"
"34","20108","04.01.97","S_Mesa","M_bistriata","F","6_embrioes_peq.",6,89.7,"EV"
"35","24178","05.02.97","S_Mesa","M_bistriata","F","5_embrioes",5,96.1,"EV"
"36","24196","05.02.97","S_Mesa","M_bistriata","F","5_embrioes",5,99.6,"EV"
"37","26341","04.03.97","S_Mesa","M_bistriata","F","5_embrioes",5,88.1,NA
"38","26352","04.03.97","S_Mesa","M_bistriata","F","5_embrioes",5,95.4,NA
"39","26412","04.03.97","S_Mesa","M_bistriata","F","5_embrioes",5,93.2,"EV"
"40","38084","18.07.97","S_Mesa","M_bistriata","F","5_fetos_peq.",5,86.4,NA
"41","39322","25.07.97","S_Mesa","M_bistriata","F","6_fetos_",6,96.1,NA
"42","39444","25.07.97","S_Mesa","M_bistriata","F","4_fetos",4,88,NA
"43","39903","29.07.97","S_Mesa","M_bistriata","F","5_fetos",5,92.4,NA
"44","40472","01.08.97","S_Mesa","M_bistriata","F","6_fetos",6,104.2,"EV"
"45","40487","01.08.97","S_Mesa","M_bistriata","F","7_fetos_peq._",7,102.4,"EV"
"46","40498","01.08.97","S_Mesa","M_bistriata","F","3_fetos_peq.",3,78.2,NA
"47","40513","01.08.97","S_Mesa","M_bistriata","F","5_fetos",5,85.8,NA
"48","40514","01.08.97","S_Mesa","M_bistriata","F","3_fetos_muito_peq.",3,78.9,NA
"49","40521","01.08.97","S_Mesa","M_bistriata","F","5_fetos_peq.",5,94.7,"EV"
"50","40522","01.08.97","S_Mesa","M_bistriata","F","6_fetos_peq.",6,93.4,"corpos_adip._enormes"
"51","40541","01.08.97","S_Mesa","M_bistriata","F","6_fetos_iniciais",6,92.5,NA
"52","40670","04.08.97","S_Mesa","M_bistriata","F","2_fetos_peq.",2,85.9,"EV"
"53","40880","06.08.97","S_Mesa","M_bistriata","F","3_fetos_peq.",3,88,"EV"
"54","40898","06.08.97","S_Mesa","M_bistriata","F","4_fetos",4,91.1,"EV"
"55","40945","06.08.97","S_Mesa","M_bistriata","F","4_fetos",4,93.2,NA
"56","41134","07.08.97","S_Mesa","M_bistriata","F","5_filhotes_formados",5,98.1,"EV"
"57","41153","07.08.97","S_Mesa","M_bistriata","F","4_fetos",4,90.4,NA
"58","41935","12.08.97","S_Mesa","M_bistriata","F","6_filhotes_formados",6,101.1,NA
"59","42025","13.08.97","S_Mesa","M_bistriata","F","5_fetos",5,95.2,NA
"60","42394","14.08.97","S_Mesa","M_bistriata","F","4_fetos_peq.",4,86.9,NA
"61","42425","14.08.97","S_Mesa","M_bistriata","F","4_fetos_",4,88.4,NA
"62","42516","14.08.97","S_Mesa","M_bistriata","F","5_fetos",5,88.5,NA
"63","42677","15.08.97","S_Mesa","M_bistriata","F","3_fetos",3,89.9,"frontopar._em_4"
"64","42741","15.08.97","S_Mesa","M_bistriata","F_","6_fetos_peq.",6,101.2,NA
"65","42771","15.08.97","S_Mesa","M_bistriata","F","5_fetos_peq.",5,98,NA
